name query ANI species
AP023287 GCF_014218295.1 100 "M. sp."
AP023287 AP023287 100 "M. sp."
AP023287 TPG_MSP_01 99.5866 "M. sp."
AP023287 NZ_AP022586 88.1691 "M. sp."
AP023287 GCF_010731695.1 88.1691 "M. sp."
AP023287 GCF_016313185.1 86.6712 "M. sp."
AP023287 GCF_015910495.1 86.6323 "M. sp."
AP023287 GCF_010728155.1 85.111 "M. sp."
AP023287 GCF_023015925.1 82.7306 "M. sp."
AP023287 GCF_017352375.1 82.4391 "M. sp."
AP023287 GCF_030519285.1 82.0829 "M. sp."
AP023287 GCF_001583415.1 81.8938 "M. sp."
AP023287 GCF_900603025.1 81.0227 "M. sp."
AP023287 GCF_900187065.1 80.9531 "M. sp."
AP023287 GCF_022179545.1 80.213 "M. sp."
GCF_001583415.1 GCF_001583415.1 100 "M. phlei"
GCF_001583415.1 GCF_900603025.1 83.7263 "M. phlei"
GCF_001583415.1 GCF_010731695.1 81.9956 "M. phlei"
GCF_001583415.1 NZ_AP022586 81.9956 "M. phlei"
GCF_001583415.1 GCF_014218295.1 81.8842 "M. phlei"
GCF_001583415.1 AP023287 81.8842 "M. phlei"
GCF_001583415.1 GCF_900187065.1 81.8679 "M. phlei"
GCF_001583415.1 GCF_030519285.1 81.8024 "M. phlei"
GCF_001583415.1 TPG_MSP_01 81.7765 "M. phlei"
GCF_001583415.1 GCF_016313185.1 81.331 "M. phlei"
GCF_001583415.1 GCF_015910495.1 81.3167 "M. phlei"
GCF_001583415.1 GCF_023015925.1 81.2792 "M. phlei"
GCF_001583415.1 GCF_017352375.1 81.0847 "M. phlei"
GCF_001583415.1 GCF_010728155.1 81.0267 "M. phlei"
GCF_001583415.1 GCF_022179545.1 80.6256 "M. phlei"
GCF_010728155.1 GCF_010728155.1 100 "M. doricum"
GCF_010728155.1 TPG_MSP_01 85.6013 "M. doricum"
GCF_010728155.1 GCF_010731695.1 85.3573 "M. doricum"
GCF_010728155.1 NZ_AP022586 85.3573 "M. doricum"
GCF_010728155.1 GCF_014218295.1 85.2601 "M. doricum"
GCF_010728155.1 AP023287 85.2601 "M. doricum"
GCF_010728155.1 GCF_016313185.1 85.168 "M. doricum"
GCF_010728155.1 GCF_015910495.1 85.1431 "M. doricum"
GCF_010728155.1 GCF_023015925.1 82.0207 "M. doricum"
GCF_010728155.1 GCF_017352375.1 81.722 "M. doricum"
GCF_010728155.1 GCF_030519285.1 81.3855 "M. doricum"
GCF_010728155.1 GCF_001583415.1 81.072 "M. doricum"
GCF_010728155.1 GCF_900187065.1 80.2663 "M. doricum"
GCF_010728155.1 GCF_900603025.1 80.1584 "M. doricum"
GCF_010728155.1 GCF_022179545.1 79.8105 "M. doricum"
GCF_010731695.1 NZ_AP022586 100 "M. litorale"
GCF_010731695.1 GCF_010731695.1 100 "M. litorale"
GCF_010731695.1 TPG_MSP_01 88.0546 "M. litorale"
